OrderID,OrderDate,CustomerID,Product,Category,Quantity,UnitPrice,Country,Revenue,Month,first_month
1001,2024-05-01,C001,Laptop Bag,Accessories,2,25.99,India,51.98,2024-05,2024-05
1002,2024-07-01,C002,Wireless Mouse,Accessories,1,15.49,India,15.49,2024-07,2024-02
1003,2024-09-01,C003,Bluetooth Speaker,Electronics,1,55.0,USA,55.0,2024-09,2024-01
1005,2024-02-02,C002,Laptop Bag,Accessories,1,25.99,India,25.99,2024-02,2024-02
1006,2024-05-02,C005,Monitor 24 inch,Electronics,1,149.99,USA,149.99,2024-05,2024-01
1007,2024-07-02,C006,Keyboard Wireless,Electronics,1,35.5,UK,35.5,2024-07,2024-07
1008,2024-11-02,C007,Bluetooth Speaker,Electronics,2,55.0,Germany,110.0,2024-11,2024-11
1009,2024-01-03,C003,Laptop Stand,Accessories,1,19.99,USA,19.99,2024-01,2024-01
1010,2024-03-03,C008,Gaming Mouse,Electronics,2,29.99,India,59.98,2024-03,2024-03
1011,2024-06-03,C009,Monitor 27 inch,Electronics,1,199.99,UK,199.99,2024-06,2024-06
1012,2024-10-03,C010,Smartphone Case,Accessories,4,9.99,India,39.96,2024-10,2024-10
1014,2024-01-04,C005,Wireless Mouse,Accessories,3,15.49,USA,46.47,2024-01,2024-01
1015,2024-02-04,C012,Keyboard Wireless,Electronics,2,35.5,UK,71.0,2024-02,2024-02
1016,2024-04-04,C003,Bluetooth Speaker,Electronics,1,55.0,USA,55.0,2024-04,2024-01
1017,2024-08-04,C002,Monitor 24 inch,Electronics,1,149.99,India,149.99,2024-08,2024-02
1018,2024-12-04,C009,Gaming Mouse,Electronics,1,29.99,UK,29.99,2024-12,2024-06
